,Tickers,Stock Price,Market Capitalization,Number of Share to Buy
0,A,133.56,38843748669,3736
1,AAL,12.51,8268834908,39888
2,AAP,169.6,9890698300,2942
3,AAPL,143.391,2370987358827,3480
4,ABBV,144.3,252289016702,3458
5,ABC,142.79,30130374007,3494
6,ABMD,272,11902364809,1834
7,ABT,107.814,187745782214,4628
8,ACN,267.68,175963628271,1864
9,ADBE,293.81,136210216385,1698
10,ADI,151.4,78059844535,3295
11,ADM,85.88,49362678856,5810
12,ADP,228.89,95648438505,2180
13,ADSK,202.879,42991223746,2459
14,AEE,79.66,21046964016,6264
15,AEP,87.38,44153952386,5710
16,AES,25.244,17544771700,19767
17,AFL,59.288,38464499013,8416
18,AIG,52.36,38879699147,9530
19,AIV,7.336,1147130972,68020
20,AIZ,151.741,8012139824,3288
21,AJG,177.74,38148883459,2807
22,AKAM,82.57,13309132568,6043
23,ALB,273.3,33448370880,1825
24,ALGN,219.7,16915486346,2271
25,ALK,42.68,5452600235,11691
26,ALL,134.72,35554193875,3703
27,ALLE,95.09,8076181872,5247
28,ALXN,188.7,41313608445,2644
29,AMAT,85.02,74651530103,5869
30,AMCR,11.241,16914654334,44391
31,AMD,62.571,101459278801,7974
32,AME,121.407,27768497088,4110
33,AMGN,231.91,124726544376,2151
34,AMP,271,29719630911,1841
35,AMT,199.51,93351876409,2501
36,AMZN,120.54,1208131518555,4139
37,ANET,122.48,37753177313,4074
38,ANSS,232.85,20360805341,2143
39,ANTM,493.28,118206735810,1011
40,AON,278.6,58973451720,1791
41,AOS,50.07,6528342028,9966
42,APA,44.8,14632461332,11138
43,APD,234.97,53968144397,2123
44,APH,74.03,43368311261,6740
45,APTV,86.46,23904385305,5771
46,ARE,140.4,22508221445,3554
47,ATO,103.95,14504119926,4800
48,ATVI,75.326,58523236650,6624
49,AVB,176.074,25098880739,2834
50,AVGO,474.92,197662017298,1050
51,AVY,173.97,13804470001,2868
52,AWK,132.09,24360256156,3777
53,AXP,139.85,107533834996,3568
54,AZO,2263.69,44296430968,220
55,BA,130.74,80183494245,3816
56,BAC,31.649,257695537144,15766
57,BAX,57.74,29158736460,8642
58,BBY,66.07,14807862341,7552
59,BDX,235.7,65172478735,2117
60,BEN,23.164,11296196360,21542
61,BF.B,66.47,32287005438,7507
62,BIIB,267.063,39332764366,1868
63,BIO,453.87,13546261822,1099
64,BK,41.327,32470530086,12074
65,BKNG,1717.77,69874846183,290
66,BKR,23.75,24075983203,21010
67,BLK,579.98,84023993882,860
68,BLL,70.35,22381119892,7093
69,BMY,72.94,156894432183,6841
70,BR,144.06,22984079876,3463
71,BRK.B,278.28,610991430482,1793
72,BSX,40.94,57372091576,12188
73,BWA,35.29,8169745119,14140
74,BXP,73.69,11724533756,6771
75,C,43.524,84759442864,11464
76,CAG,33.27,16037096266,14998
77,CAH,69.9,18340832856,7138
